
Sync-Point 0, Time: 0.0909091, Redshift: 10, Systemstep: 0, Dloga: 0, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 1, Time: 0.0926282, Redshift: 9.79585, Systemstep: 0.0017191, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 2, Time: 0.0943798, Redshift: 9.59549, Systemstep: 0.00175161, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 3, Time: 0.0961645, Redshift: 9.39884, Systemstep: 0.00178473, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 4, Time: 0.097983, Redshift: 9.20585, Systemstep: 0.00181848, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 5, Time: 0.0998359, Redshift: 9.01644, Systemstep: 0.00185287, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 6, Time: 0.101724, Redshift: 8.83054, Systemstep: 0.00188791, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 7, Time: 0.103647, Redshift: 8.64809, Systemstep: 0.00192361, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 8, Time: 0.105607, Redshift: 8.46903, Systemstep: 0.00195999, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 9, Time: 0.107604, Redshift: 8.2933, Systemstep: 0.00199705, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 10, Time: 0.109639, Redshift: 8.12082, Systemstep: 0.00203481, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 11, Time: 0.111713, Redshift: 7.95155, Systemstep: 0.00207329, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 12, Time: 0.113825, Redshift: 7.78541, Systemstep: 0.0021125, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 13, Time: 0.115978, Redshift: 7.62236, Systemstep: 0.00215245, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 14, Time: 0.118171, Redshift: 7.46234, Systemstep: 0.00219315, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 15, Time: 0.120405, Redshift: 7.30528, Systemstep: 0.00223462, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 16, Time: 0.122682, Redshift: 7.15114, Systemstep: 0.00227688, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 17, Time: 0.125002, Redshift: 6.99987, Systemstep: 0.00231994, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 18, Time: 0.127366, Redshift: 6.8514, Systemstep: 0.00236381, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 19, Time: 0.129774, Redshift: 6.70568, Systemstep: 0.00240851, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 20, Time: 0.132228, Redshift: 6.56267, Systemstep: 0.00245405, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 21, Time: 0.134729, Redshift: 6.42231, Systemstep: 0.00250046, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 22, Time: 0.137277, Redshift: 6.28456, Systemstep: 0.00254774, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 23, Time: 0.139873, Redshift: 6.14936, Systemstep: 0.00259592, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 24, Time: 0.142518, Redshift: 6.01668, Systemstep: 0.00264501, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 25, Time: 0.145213, Redshift: 5.88645, Systemstep: 0.00269503, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 26, Time: 0.147959, Redshift: 5.75865, Systemstep: 0.00274599, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 27, Time: 0.150757, Redshift: 5.63321, Systemstep: 0.00279792, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 28, Time: 0.153607, Redshift: 5.51011, Systemstep: 0.00285083, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 29, Time: 0.156512, Redshift: 5.38928, Systemstep: 0.00290473, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 30, Time: 0.159472, Redshift: 5.2707, Systemstep: 0.00295966, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 31, Time: 0.162487, Redshift: 5.15432, Systemstep: 0.00301563, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 32, Time: 0.16556, Redshift: 5.04011, Systemstep: 0.00307266, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 33, Time: 0.168691, Redshift: 4.92801, Systemstep: 0.00313076, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 34, Time: 0.171881, Redshift: 4.81799, Systemstep: 0.00318996, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 35, Time: 0.175131, Redshift: 4.71001, Systemstep: 0.00325029, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 36, Time: 0.178443, Redshift: 4.60404, Systemstep: 0.00331175, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 37, Time: 0.181817, Redshift: 4.50003, Systemstep: 0.00337438, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 38, Time: 0.185255, Redshift: 4.39795, Systemstep: 0.00343819, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 39, Time: 0.188759, Redshift: 4.29777, Systemstep: 0.0035032, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 40, Time: 0.192328, Redshift: 4.19945, Systemstep: 0.00356945, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 41, Time: 0.195965, Redshift: 4.10295, Systemstep: 0.00363695, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 42, Time: 0.199671, Redshift: 4.00825, Systemstep: 0.00370572, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 43, Time: 0.203446, Redshift: 3.9153, Systemstep: 0.0037758, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 44, Time: 0.207294, Redshift: 3.82407, Systemstep: 0.0038472, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 45, Time: 0.211214, Redshift: 3.73454, Systemstep: 0.00391995, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

Sync-Point 46, Time: 0.215208, Redshift: 3.64667, Systemstep: 0.00399408, Dloga: 0.0187336, Nsync-grv:      65536, Nsync-hyd:      32768

